[1]	ātma khyātiḥ asat khyātiḥ akhyātiḥ khyātiḥ anyathā parīkṣakāṇām vibhrāntau vivādāt sā vivicyate 
[54_56]	mithyā rajata dhīḥ na atra viveka anavadhāraṇāt pratyabhijñāna vibhrāntau na smṛti tvam na gamyate ekasya ca vivikta tvāt itarasya viviktatā pratyakṣāt avivekāt ca yuktaḥ pratyakṣa vibhramaḥ syāt smṛtāt avivekāt ca smṛti gocara vibhramaḥ 
[57_59]	 niyatā na pravṛttiḥ syāt na iṣṭā ced khyātiḥ anyathā na dṛśya adṛśyayoḥ bhedaḥ khyātiḥ ced na īpsita ātmanaḥ nanu naḥ viparīta arthāḥ dhīḥ pratīti virodhataḥ anāśvāsāt ca rajata pratyayaḥ rajate smṛtiḥ na etat na hi pravarteta śuktikā śakale tadā 
[60_62]	rajate sā pravṛttiḥ ced na tasya asaṃnidhānataḥ asaṃnidhāna abodhāt ced pravṛtti niyamaḥ kutas pravartate yat tatra eva tat tad saṃnidhi kāritam anyatra bheda grahaṇāt viveka agrahaṇāt tathā pravṛtti bhedaḥ sādṛśyāt viveka agrahaṇam yadi adṛṣṭeṣu pravarteta loṣṭa ādiṣu avivekataḥ 
[63_65]	na tatra yadi tad buddhiḥ śuktikā śakale api na atha asti viparīta arthā khyātiḥ nihnūyate katham adṛṣṭa tvāt apravṛttiḥ śuktikā śakale samā dṛṣṭam tat yena rūpeṇa tat pravṛtteḥ akāraṇam dṛṣṭa smṛtauvivekāt ced idam atra parīkṣyatām tattva bodhāt atha atattva abodhāt rajata vedanāt 
[66_68]	dṛṣṭe pravṛttiḥ pūrvasmin viparīta artha tā mateḥ na dṛṣṭa adṛṣṭayoḥ bhedaḥ parasmin na upayoginī kha yoga darśane te hi samāropa upayoginī na adṛṣṭe asaṃprayukte vā cākṣuṣaḥ syāt viparyayaḥ smṛti pramāṇa phalayoḥ nānātvam yadi ca iṣyate vivecitaḥ tayoḥ sva arthaḥ avivekaḥ kiṃnibandhanaḥ 
[69_71]	anyasmāt sā sva viṣayam vivinakti smṛtiḥ na ced sāmānya dṛṣṭau ca anyasya smṛtau syāt vā sadā bhramaḥ smarāmi iti vivekāt na yadi na etat prakalpate phala abhede phala unneya jñāna bheda matiḥ kutas smarāmi iti ca vijñānam smṛteḥ anyat udāhṛtam na ca māna phalāt bhinnāt tat sidhyati phalāt ṛte 
[72_74]	manaḥ doṣāt yadi sva arthaḥ na smṛtyā pravivicyate timira ādau katham svasthe svānte keśa ādi vibhramaḥ na tatra api manaḥ duṣṭam artha antara vivecanāt jñānāt eva hi dṛṣṭa tva kalpanāyāḥ ca gauravāt budhyamānaḥ vivekam ca paśyāmi indriya doṣataḥ citra ādi rūpān dīpa ādīn iti lokaḥ prabhāṣate 
[75_78]	indriyāṇām doṣa bhedāt niyata bhrānti darśanam na syāt yasya agrahe doṣa vyāpāraḥ iti niścayaḥ na ca sarvā niyogena bhrāntiḥ sādṛśya bandhanā śvete pīta bhramaḥ dṛṣṭaḥ madhure tikta vibhramaḥ avyāpṛtau ca tad prāpteḥ na antar pitta pravedanam ati āsannasya saṃvittiḥ durlabhā ca añjana ādi vat na ca akṣa vṛtti tad janma jñāna bheda aviveka jāḥ dvi candra ādi bhramāḥ te hi na pratyakṣe na ca smṛte 
[79_81]	anyathā ālambana tve ca na nirālambanā matiḥ anyena api hi rūpeṇa cakṣuḥ na ālambate akṣadhīḥ ālambana arthaḥ tat yukta vyavahārasya yogyatā anyasya api hi na eva anyaḥ saḥ iti eva hi darśitam pravṛttiḥ śukti śakale tathā ca rajata arthinaḥ ābhāsate kathaṃcid ca tat na atyantam na bhāsate 
[82_84]	tena na āvedikā yat tu tad rūpa avyabhicārataḥ prāmāṇyam ānapekṣyam hi syāt anyathā trapākaram trapākaram katham tat naḥ svatas prāmāṇya vādinām api anyaḥ avyabhicāreṇa dhī prāmāṇyam upāgamat bodhāt eva pramāṇa tvam iti mīmāṃsaka sthitim vidan avyabhicāreṇa tām vyudasyati apaṇḍitaḥ 
[85_87]	arthena avyabhicāraḥ ced na abuddhena pramīyate jñānasya avyabhicārāt ca tad bodhaḥ iti durghaṭam upāsyaḥ avyatirekaḥ ca tat jñānasya tathā anyathā na asiddha avyatirekeṇa sa parāmṛśyate api ca avyatirekaḥ api jñāna rūpeṇa vedyate khyātau ca viparītāyām tad virodha prasaṅgataḥ 
[88_90]	tathā sati tat eva astu viṣayasya avabodhakam arthaḥ na avyatirekeṇa tad sāmarthya āpta saṃvidā vyabhicāra apratītyā ced aprāmāṇya nirākṛtiḥ dūṣite vyabhicāreṇa na syāt jñāne pramāṇa tā na etat avyabhicāreṇa prāmāṇyam yasya duṣyati vyabhicārāt asau liṅgam yathā na akṣam tathā api tat 
[91_93]	saṃbandha jñāna sāpekṣam yat upaiti upayogi tām dūṣitam vyabhicāreṇa tat syāt saṃśaya kāraṇam duṣyati vyabhicāreṇa bodhakam sat tayā eva na vijñānāt ca artha saṃvittiḥ sattayā eva indriya ādi vat liṅgasya avyabhicārāt yat prāpyate rūpataḥ asya tat siddha pratyaya sāmarthya pūrvau na itas nimitta tām 
[94_96]	prāmāṇye tad abhāve ca avyatireka viparyayau tathā hi avyatirekaḥ api bodhāt eva upavarṇitaḥ vyatirekaḥ bādha bodhāt iti tad śakti yukta tā asiddhe jñāna sāmarthye saḥ asiddhaḥ dūṣakaḥ katham siddhe api siddha sāmarthyam asāmarthyam katham nayet nanu ca vyabhicāri tve bādhaka jñāna saṃmate 
[97_99]	jñāna rūpasya tena eva vihanyeta pramāṇa tā arthaḥ yathā jñāna rūpāt tathā eva iti avasīyate vyabhicāra mateḥ eva na tathā eva iti gamyate tat satyam bādhaka jñānam yatra tatra vihanyate anyatra tu vighātaḥ syāt na sākṣāt na api ca arthataḥ anumānam bhavet tat ca tena apahṛta gocaram 
[100_102]	na udeti jāgrataḥ buddhiḥ iti bhāṣye nidarśitam vyabhicāra jñāna mātrāt prāmāṇyasya na naḥ kṣatiḥ vyabhicāriṇi na āśvāsaḥ tridhā api vyabhicāreṇa prāmāṇyam na upahanyate uktam na avyatirekasya pramāṇa tva nimitta tā 
[103_105]	yena syāt dhetu abhāvena vyabhicāre viparyayaḥ dhūma ādīnām api na tat varṇyate avyabhicārataḥ bodhāt eva tad utpattau aṅga bhāvaḥ asya saṃmataḥ tathā hi avyabhicārāṇām kutaścana nimittataḥ bodhasya anudaye kaścid prāmāṇyam na anumanyate eka artha niyatam bodham janayat vyabhicāri api 
[106_108]	pramāṇam iṣyate cakṣuḥ nīle bhāve site bhavat na ca api vyabhicārasya sākṣāt prāmāṇya ghāti tā kvacid dṛṣṭā bhrānti bodhe bādhadhīḥ upaghātikā prameya tva ūrdhva tā ādīnām bodhaḥ eva avadhārakaḥ na asti iti na pramāṇa tvam hetu abhāvāt ca na asti asau tad bhāvāt ca pramāṇa tvam akṣāṇām vyabhicāriṇām 
[109_111]	na ca avadhārite yuktaḥ dvaividhyāt saṃśaya udbhavaḥ na niścite api hi sthāṇau ūrdhva tvena viśerate na ca avadhāraṇāt eva tattvataḥ anavadhāraṇam evam yatas tatas na evam bhavet ati su bhāṣitam utpattyā eva ca vijñānam tathā tvasya avadhārakam 
[112_114]	na ced tathā na anyatas api tasya prāmāṇya saṃbhavaḥ pramāṇa tva apramāṇa tve avyatireka viparyayau anaṅge iti mogha eva tayoḥ atra vicāraṇā atas avadhāraṇa ābhāsa vyabhicārāt parīkṣaṇam prastutya hetu abhāve phala abhāva niyamaḥ syāt tatas gate 
[115_120ab]	abhāve hetu doṣāṇām tathā ākhyāti viniścayaḥ hetau phalam na niyatam pariṇāma ādi apekṣiṇi aduṣṭe api tatas hetau na sphuṭa graha niścayaḥ pratyakṣaḥ anubhavaḥ sādhyaḥ na hetoḥ vyabhicāriṇaḥ viparyaya phala abhāvaḥ hetu abhāvāt tu yujyate nirodhāt yukta kāryasya viparītasya sādhanāt doṣāṇām nitarām doṣa bhāvaḥ abhivyaktim ṛcchati kārya atirekaḥ jaṭhare vahnau dṛṣṭaḥ ca bhasmake kāma ādi upaplute citte dṛṣṭitā smaraṇa ātmani sāmānādhikaraṇyena amukha rūpya pratītitaḥ abhinnā ekā ca sā saṃvid kam pakṣam apabadhatām 
[120cd_123]	śūnyam prakāśate ca iti dvayam vipratiṣedha vat bhāsane rūpavat tvena śūnyā eva ucyeta śūnyatā sarva rūpa vivekaḥ hi śūnyam iti abhibhāṣyate paraiḥ rūpa abhyupagame tatra śūnyā eva śūnya dhīḥ abhāvaḥ bhāva rūpeṇa bhāti iti yadi manyate anyathā khyātiḥ eva iṣṭā śūnyam tat api ced matam na etat vipratiṣidhyete śūnyatā bhāva rūpate 
[124_126]	atas atad deśa kāla tva mātram tasya iha śūnyatā nanu asti yat yathā vastu tathā khyātau na vibhramaḥ na yathā asti tathā khyātau śūnya khyāteḥ na mucyate kecid āhuḥ prakāribhyaḥ prakārāḥ na cakāsati viviktāḥ te tathā bhānti te ca santaḥ iti sthitiḥ anye tanmātra śūnya tvam manvate na anyathā bhramaḥ 
[127_129]	na anyathā dhīḥ vastu niṣṭhā vastu ālambāt vinā na sā svayam tu vārttika kṛtā samādhiḥ iha varṇitaḥ bhāva antaram abhāvaḥ anyaḥ na kaścid anirūpaṇāt satyam yathā asti na tathā bhāsane vibhramaḥ mataḥ na yena asti prakāreṇa na tu tucchaḥ pratīyate tathā katham abhāvaḥ asya sa hi bhāti tathā ca saḥ 
[130_132]	bhāva antaram abhāvaḥ hi kayācid tu vyapekṣayā anyathā ākhyāti pakṣe ca na prakāra antaram na sat anyasya ca na tasya iti khyātiḥ yuktā mṛṣā ca sā prakāra antara saṃsargaḥ nanu asan eva bhāsate saṃvedyam na anyarupatvam anyasya bhinnayoḥ atra saṃsargaḥ na kaścid avabhāsate 
[133_135]	anya ātmanā apara khyātiḥ sa ca abhāvaḥ asya tat mṛṣā abhāva grāhiṇī buddhiḥ bhāva antaram upāśritā tat anyasmāt pṛthaktvena nirupākhyaḥ na vidyate atas bhāva antaram muktvā tatra abhāvā nirūpaṇāt na buddhyā bhāva śūnya tvam mṛṣā ca iti vipaścitaḥ na vai śaśa viṣāṇe api khyātasya nirupākhya tā 
[136_138]	śaśa saṃsargi rūpam hi viṣāṇam tatra gamyate avastu tat ca naḥ yena khura dharmiṇi vīkṣitam asaṃsṛṣṭasya saḥ abhāvaḥ iti khyātiḥ mṛṣā ca sā aṅgulī agre hasti yūtham iti eṣā pratibhā tathā svapne api avartamānasya grahaṇam vartamāna vat na aviśeṣaḥ khapuṣpāt ca sva kāle tasya vastu tā 
[139_141]	tad kālam eva hi jñeyam jñānam eva tu saṃprati vartamāna tvam api atra dṛṣṭam anyatra rūpyate anyasya api anyathā dṛṣṭiḥ paraspara virodhinām atyantān anubhūta tvam asti tad kāritam yatas na jñeya śūnyam vijñānam sva ātma hāni prasaṅgataḥ nirupākhyāt ātma yogāt asvātantryāt ca cetasaḥ 
[142_144]	pramāṇavanti adṛṣṭāni kalpyante su bahūni api saṃskāra cheda hetūnām tattvam na ekāntataḥ sthitam janma antara anubhūtam ca na smaryate iti sthitam tad karma phala saṃbandham prati iti pratijānate tathā hi anādau saṃsāre karma bhedān smaran api ananta kṛta karma tvāt kaḥ vidyāt kasya kim phalam 
[145_147]	svāntasya upaplavaḥ svapne smṛti bījasya bodhakaḥ tasya ca jāgrataḥ abhāvāt na udeti svapna darśanam kāma ādi upaplave api evam kārya ādhikyam udāhṛtam agrāhyam eva gṛhṇāti svayam kalpayati hi ayam doṣa kṣatasya manasaḥ tat kāryam tat adhyārope naḥ gauṇī tathā iti adhyavasāyataḥ 
[148_150]	khyāti saṃnihite aśūnyam sat bhāva antara ghaṭṭitam prabhāsatām asattā tu no śūnyam tat anātmakam evam nirvacanīyā ca na avidyā parihāsyate avidyā tvam yatas anyasya sa anya rūpam prakāśayet 
[154_156]	bādhya jñānasya mithyātvam na anyathā vyavatiṣṭhate tena yāvat bādhanīyam tāvat mithyā iti yujyate bhrānti jñeye ca bāhya tvam bādhakaiḥ na nirasyate na gamyate antar varti tvam na anirvācya tayā matiḥ kim tu atad deśa kāla tvam gamyate bāhya vastunaḥ tasmāt na bāhya vastu tvam mṛṣā bodhāt na bādhanāt 
[157_159]	prasakta pratiṣedha ātmā bodhaḥ akhyātau na yujyate sādhayati anyathā khyātim bādhaḥ eva ca naḥ sphuṭam prasañjikā hi na ākhyātiḥ asmad pakṣe tu yujyate na ca āgraha niṣedhaḥ ayam sarva jñāna prasaṅgataḥ viveka dhīḥ niṣedhaḥ ayam na pratītya anugamyate na krame yaugapadye vā viveka matiḥ īdṛśī 
[160_164]	aviveka grahe syāt ced satyam na tu viviktayoḥ agrahe prāpti abhāvena prāpteḥ pūrvam tu yujyate dvayoḥ abhāvāt svapne ca vivekaḥ gamyate kayoḥ smṛta tvena avivikte ced tathā bādhā vihanyate syāt sarvā evaṃvidhā bādhā paścāt dharmiṇi dharma dhīḥ tat yuktam bādhaka jñānāt vācoyuktiḥ iyam bhavet arthe anyathā api sati eṣa dhiyākāraḥ pratīyate ātma khyātau sarvam eva antar āhuḥ śūnya khyātau śūnyam eva iti kecid akhyātau no tattva mithyā vibhāgaḥ tasmāt eṣām vibhramāṇām vivekaḥ 
