[1,i]	om namaḥ vīttarāgāya 
[20,i]	tatra yorthaḥ dṛṣṭa tvena jñātaḥ sa pratyakṣeṇa pravṛtti viṣayīkṛtaḥ yasmāt yasmin arthe pratyakṣasya sākṣātkāri tva vyāpāraḥ vikalpena anugamyate tasya pradarśakam pratyakṣam tasmāt dṛṣṭa tayā jñātaḥ pratyakṣa darśitaḥ anumānam tu liga darśanāt niṃścinvat pravṛtti viṣayam darśayati tathā ca pratyakṣam pratibhāsanam niyatam artham darśayati anumānam ca liṅga sambaddham niyatam artham darśayati atas ete niyatasya arthasya pradarśake tena te pramāṇe na anyat vijñānam 
[21,i_22,i]	prāptum śakyam artham ādarśayat prāpakam prāpaka tvāt ca pramāṇam ābhyām pramāṇābhyām anyena ca jñānena darśitaḥ arthaḥ kaścid atyanta viparyastaḥ yathā marīcikāsu jalam sa ca asattvāt prāptum aśakyaḥ kaścid aniyataḥ bhāva abhāvayoḥ yathā saṃśaya arthaḥ na ca bhāva abhāvābhyām yuktaḥ arthaḥ jagati asti tatas prāptum aśakyaḥ tādṛśaḥ 
[22,ii]	sarveṇa ca āliṅgena vikalpena niyāmakam adṛṣṭvā pravṛttena bhāva abhāvayoḥ aniyataḥ eva arthaḥ darśayitavyaḥ sa ca prāptum aśakyaḥ tasmāt aśakya prāpaṇam atyanta viparītam bhāva abhāva aniyatam ca artham darśayat apramāṇam anyat jñānam artha kriyā arthibhiḥ ca artha kriyā samartha vastu prāpti nimitam jñānam mṛgyate yat ca taiḥ mṛgyate tat eva śāstre vicāryate tatas artha kriyā samartha vastu pradarśakam samyak jñānam 
[24,i_25,i]	yat ca tena pradarśitam tat eva prāpaṇīyam artha adhigama ātmakam hi prāpakam iti uktam tatra pradarśitāt anyat vastu bhinna ākāram bhinna deśam bhinna kālam ca viruddha dharma saṃsargāt hi anyat vastu deśa kāla ākāra bhedaḥ ca viruddha dharma saṃsargaḥ tasmāt anya ākāra vat vastu grāhi na ākāra antaravati vastuni pramāṇam yathā pīta śaṅkha grāhi śukle śaṅkhe deśa antara stha grāhi ca na deśa antara sthe pramāṇam yathā kuñcikā vivara deśa sthāyām maṇi prabhāyām maṇigrāhi jñānam na apavaraka sthe maṇau kāla antara yukta grāhi ca na kāla antaravati vastuni pramāṇam yathā arddha rātre madhyāhna kāla vastu grāhi svapna jñānam na ardharātra kāle vastuni pramāṇam 
[26,i]	nanu ca deśa niyatam ākāra niyatam ca prāpayitum śakyam yad kālam tu paricchinnam tad kālam na śakyam prāpayitum na ucyate yasmin eva kāle paricchidyate tasmin eva kāle prāpayitavyam iti anyaḥ hi darśana kālaḥ anyaḥ ca prāpti kālaḥ kintu yad kālam paricchinnam tat eva tena prāpaṇīyam abheda adhyavasāyāt ca santāna gatam eka tvam draṣṭavyam iti 
[27,i_28,i]	samyak jñānam pūrvam kāraṇam yasyāḥ sā tathā uktā kāryāt pūrvam bhavat kāraṇam pūrvam uktam kāraṇa śabda upādāne tu puruṣa artha siddheḥ sākṣāt kāraṇam gamyeta pūrva śabde tu pūrva mātram dvividham ca samyak jñānam artha kriyā nirbhāsam artha kriyā samarthe ca pravarttakam tayoḥ madhye yat pravartakam tat iha parīkṣyate tat ca pūrva mātram na tu sākṣāt kāraṇam samyak jñāne hi sati pūrva dṛṣṭa smaraṇam smaraṇāt abhilāṣaḥ abhilāṣāt pravṛttiḥ pravṛtteḥ ca prāptiḥ tatas na sākṣāt hetuḥ 
[29,i]	artha kriyā nirbhāsam tu yadi api sākṣāt prāptiḥ tathā api tat na parīkṣaṇīyam yatra eva hi prekṣāvantaḥ arthinaḥ sa āśaṅkāḥ tat parīkṣyate artha kriyā nirbhāse ca jñāte sati siddhaḥ puruṣa arthaḥ tena tatra na sa āśaṅkāḥ arthinaḥ atas tat na parīkṣaṇīyam tasmāt parīkṣā arham asākṣāt kāraṇam samyak jñānam ādarśayitum kāraṇa śabdam parityajya pūrva grahaṇam kṛtam 
[30,i]	puruṣasya arthaḥ puruṣa arthaḥ arthyate iti arthaḥ kāmyate iti yāvat hayaḥ arthaḥ upādeyaḥ vā heyaḥ hi arthaḥ hātum iṣyate upādeyaḥ api upādātum na ca heya upādeyābhyām anyaḥ rāśiḥ asti upekṣaṇīyaḥ hi anupādeya tvāt heyaḥ eva tasya siddhiḥ hānam upādānam ca hetu nibandhanā hi siddhiḥ utpattiḥ ucyate jñāna nibandhanā tu siddhiḥ anuṣṭhānam heyasya ca hānam anuṣṭhānam upādeyasya ca upādānam tatas heya upādeyayoḥ hāna upādāna lakṣaṇa anuṣṭhitiḥ siddhiḥ iti ucyate 
[31,i]	sarvā ca asau puruṣa artha siddhiḥ ca iti sarva śabdaḥ iha dravya kārtsanye vṛttaḥ na tu prakārakārtsnye tatas na ayam arthaḥ dvi prakārā api siddhiḥ samyak jñāna nibandhana eva iti api tu ayam arthaḥ yā kācid siddhiḥ sā sarvā kṛtsnā eva asau samyak jñāna nibandhana iti mithyājñānāt hi kākatālīyā api na asti artha siddhiḥ tathā hi yadi pradarśitam artham prāpayati evam tatas bhavati artha siddhiḥ pradarśitam ca prāpayat samyak jñānam eva pradarśitam ca aprāpayat mithyājñānam aprāpakam ca katham artha siddhi nibandhanam syāt tasmāt yat mithyā jñānam na tatas artha siddhiḥ yatas ca artha siddhiḥ tat samyak jñānam eva atas eva samyak jñānam yatnatas vyutpādanīyam yatas tat eva puruṣa artha siddhi nibandhanam 
[34,i_34,iii]	tatas yāvat brūyāt yā kācid puruṣa artha siddhiḥ sā samyak jñāna nibandhana eva iti tāvat uktam sarvā sā samyak jñāna pūrvikā iti iti śabdaḥ tasmāt iti asmin arthe yat tadoḥ ca nityam abhisambandhaḥ tat ayam arthaḥ yasmāt samyak jñāna pūrvikā sarva puruṣa artha siddhiḥ tasmāt tat samyak jñānam vyutpādyate yadi api ca samāse guṇībhūtam samya jñānam tathā api iha prakaraṇe vyutpādayitavya tvāt pradhānam tatas tasya eva tad śabdena sambandhaḥ vyutpādyate iti vipratipatti nirākaraṇena pratipādyate iti 
[35,i_36,i]	caturvidhā ca atra vipratipattiḥ saṃkhyā lakṣaṇa gocara phala viṣayā tatra saṃkhyā vipratiprattim nirākarttum āha dvividham iti dvau vidhau prakārau asya iti dvividham saṃkhyā pradarśana dvāreṇa ca vyakti bhedaḥ darśitaḥ bhavati dve eva samyak jñāna vyaktī iti vyakti bhede ca pradarśite prativyakti niyatam samyak jñāna lakṣaṇam ākhyātum śakyam apradarśite tu vyakti bhede sakala vyaktati anuyāyi samyak jñāna lakṣaṇam ekam na śakyam vaktum tatas lakṣaṇa kathana aṅgam eva saṃkhyā bheda kathanam apradarśite tu vyakti bheda ātmake saṃkhyā bhede lakṣaṇa bhedasya darśayitum aśakyatvāt lakṣaṇa nirdeśa aṅga tvāt eva ca prathamam saṃkhyā bheda kathanam 
[37,i_38,i]	kim punar tat dvaividhyam iti āha pratyakṣam iti pratigatam āśritam akṣam ati ādayaḥ krānta ādi arthe dvitīyayā iti samāsaḥ prāpta āpannālaṅgati samāseṣu para vat liṅga pratiṣedhāt abhidheya valliṅge sati sarva liṅgaḥ pratyakṣa śabdaḥ siddhaḥ akṣa āśrita tvam ca vyutpattiḥ nimittam śabdasya na tu pravṛtti nimittam anena tvakṣa āśrita tvena ekā rtha samaveta martha sākṣāt kāri tvam lakṣyate tat eva śabdasya pravṛtti nimittam tatas cā yat kiñcidarthasya sākṣātkāri jñānam tat pratyakṣam ucyate 
[39,i_39,ii]	yadi tvakṣa āśrita tvam eva pravṛtti nimittam syāt indriya vijñānam eva pratyakṣamucyeta na mānasa ādi yathā gacchati iti gauḥ iti gamana kriyāyām vyutpāditaḥ api go śabdaḥ gamana kriyā upalakṣitam ekārtha samavetam go tvam pravṛtti nimittīkaroti tathā ca gacchati agacchati ca gavi go śabdaḥ siddhaḥ bhavati mīyate anena iti mānam karaṇa sādhanena māna śabdena sārūpya lakṣaṇam pramāṇam abhidhīyate liṅga grahaṇa sambandha smaraṇasya paścāt mānam anumānam gṛhīte pakṣa dharme smṛte ca sādhya sādhana sambandhe anumānam pravarttate iti paścāt kāla bhāvi ucyate cakāraḥ pratyakṣa anumānayoḥ tulya bala tvam samuccinoti yathā artha avinā bhāvi tvāt artham prāpayat pratyakṣam pramāṇam tadvat artha avinā bhāvi tvāt anumānam api paricchinnam artham prāyapat pramāṇam iti 
[40,i_40,ii]	tatra iti saptamī arthe varttamānaḥ nirdhāraṇe varttate tatoyam vākya arthaḥ tatra tayoḥ pratyakṣānamānayoḥ iti samudāya nirdeśaḥ pratyakṣam iti eka deśa nirdeśaḥ tatra samudāyāt pratyakṣa tva jātya eka deśasya pṛthak karaṇam nirdhāraṇam tatra pratyakṣam anūdya kalpanā apoḍha tvam abhrānta tvam ca vidhīyate yat tat bhavatām asmākam ca artheṣu sākṣātkāri jñānam prasiddham tat kalpanā apoḍha abhra anta tva yuktam draṣṭavyam 
[41,i_41,ii]	na ca etat mantavyam kalpanā apoḍhā abhra anta tvam ced aprasiddham kim anyat pratyakṣasya jñānasya rūpam avaśiṣyate yat pratyakṣa śabda vācyam sat anūdyeta iti yasmāt indriya anvaya vyatireka anuvidhāyi artheṣu sākṣātkāri jñānam pratyakṣa śabda vācyam sarveṣām prasiddham tad anuvādena kalpanā apoḍha abhra anta tva vidhiḥ kalpanāyāḥ apoḍham apetam kalpanā apoḍham kalpanā svabhāvena rahitam iti arthaḥ abhra antam artha kriyā kṣame vastu rūpe aviparyastam ucyate artha kriyā kṣamam ca vastu rūpam sanniveśa upādhi varṇa ātmakam tatra yat na bhrāmyati tat abhra antam 
[44,i]	etat ca lakṣaṇa dvayam vipratipatti nirāsa artham na tu anumāna nivṛtti artham yatas kalpanā apoḍha grahaṇena eva anumānam nivartitam tatra asati abhrānta grahaṇe gacchat vṛkṣa darśana ādi pratyakṣam kalpanā apoḍha tvāt syāt tatas hi pravṛttena vṛkṣa mātram avāpyate iti saṃvādaka tvāt samyak jñānam kalpanā apoḍha tvāt ca pratyakṣam iti syāt āśaṅkā tad nivṛtti artham abhrānta grahaṇam tat hi bhrānta tvāt na pratyakṣam trirūpa liṅga ja tvā abhāvāt ca na anumānam na ca pramāṇa antaram asti atas gacchat vṛkṣa darśana ādi mithyājñānam iti uktam bhavati 
[46,i_46,ii]	yadi mithyājñānam katham tatas vṛkṣa avāptiḥ iti ced na tatas vṛkṣa avāptiḥ nānā deśa gāmī hi vṛkṣaḥ tena paricchinnaḥ eka deśa niyataḥ ca vṛkṣaḥ avāpyate tatas yat deśaḥ gacchat vṛkṣaḥ dṛṣṭaḥ tad deśaḥ na avāpyate yat deśaḥ ca avāpyate sa na dṛṣṭaḥ iti na tasmāt kaścid arthaḥ avāpyate jñāna antarāt eva tu vṛkṣa ādiḥ arthaḥ avāpyate iti evam abhra anta grahaṇam vipratipatti nirāsa artham tathā abhra anta grahaṇena api anumāne nivartite kalpanā apoḍha grahaṇam vipratipatti nirākaraṇa artham bhrāntam hi anumānam sva pratibhāse anarthe artha adhyavasāyena pravṛtta tvāt pratyakṣam tu grāhye rūpe na viparyastam 
[47,i]	na tu avisaṃvādakam abhrāntam iha grahītavyam yatas samyak jñānam eva pratyakṣam na anyat tatra samyak jñāna tvāt evā avisaṃvādaka tve labdhe punar avisaṃvādaka grahaṇam niṣprayojanam eva evam hi vākya arthaḥ syāt pratyakṣa ākhyam yat avisaṃvādakam jñānam tat kalpanā apoḍham avisaṃvādakam ca iti na ca anena dvis avi saṃvādaka grahaṇena kiñcid tasmāt grāhye artha kriyā kṣame vastu rūpe yat aviparyastam tat abhra antam iha veditavyam 
[47,ii_47,iii]	kīdṛśī punar kalpanā iha gṛhyate iti āha abhilāpa ityādi abhilapyate anena iti abhilāpaḥ vācakaḥ śabdaḥ abhilāpena saṃsargaḥ abhilāpa saṃsargaḥ ekasmin jñāne abhidheya ākārasya abhidhāna ākāreṇa saha grāhya ākāra tayā tatas yadā ekasmin jñāne abhidheya abhidhānayoḥ ākārau saṃniviṣṭau bhavataḥ tadā saṃsṛṣṭe abhidhāna abhidheye bhavataḥ abhilāpa saṃsargāya yogyaḥ abhidheya ākāra bhāsaḥ yasyām pratītau sā tathā uktā 
[48,i]	tatra kācid pratītiḥ abhilāpa saṃsṛṣṭa ābhāsā bhavati yathā vyutpanna saṅketasya ghaṭa artha kalpanā ghaṭa śabda saṃsṛṣṭa artha avabhāsā bhavati kācid tu abhilāpena asaṃsṛṣṭā api abhilāpa saṃsarga yogya ābhāsā bhavati yathā bālakasya avyutpanna saṅketasya kalpanā tatra abhilāpa saṃsṛṣṭa ābhāsā kalpanā iti uktau avyutpanna saṅketasya kalpanā na saṃgṛhyeta yogya grahaṇe tusā api saṃgṛhyate yadi api abhilāpa saṃsṛṣṭa ābhāsā na bhavati tat ahar jātasya bālakasya kalpanā abhilāpa saṃsarga yogya pratibhāsā tu bhavati eva yā ca abhilāpa saṃsṛṣṭā sā api yogyā tatas ubhayoḥ api yogya grahaṇena saṃgrahaḥ 
[49,i]	asati abhilāpa saṃsarge kutas yogyatāvasitiḥ iti ced aniyata pratibhāsa tvāt aniyata pratibhāsa tvam ca pratibhāsa niyama hetoḥ abhāvāt grāhyaḥ hi arthaḥ vijñānam janayat niyata pratibhāsam kuryāt yathā rūpam cakṣuḥ vijñānam janayat niyata pratibhāsam janayati vikalpa vijñānam tu arthān na utpadyate tatas pratibhāsa niyama hetoḥ abhāvāt aniyata pratibhāsam 
[50,i]	kutas punar etat vikalpaḥ arthāt na utpadyate iti artha sannidhi nirapekṣa tvāt bālaḥ api hi yāvat dṛśyamānam stanam saḥ eva ayam iti pūrva dṛṣṭa tvena na pratyavamṛśati tāvat na uparata ruditaḥ mukham arpayati stane pūrva dṛṣṭa apara dṛṣṭam ca artham ekīkurvat vijñānam asat nihita viṣayam pūrva dṛṣṭa tvasya asat nihita tvāt asat nihita viṣayam ca artha nirapekṣam anapekṣam ca pratibhāsa niyama hetoḥ abhāvāt aniyata pratibhāsam tādṛśam ca abhilāpa saṃsarga yogyam 
[52,i_52,ii]	indriya vijñānam tu sannihita artha mātra grāhi tvāt artha sāpekṣam arthasya ca pratibhāsa nivam ahetu tvāt niyata pratibhāsam tatas nābhilāpa saṃsarga yogyam atas eva sva lakṣaṇasya api vācya vācaka bhāvam abhyupagamya etat avikalpaka tvam ucyate yadi api hi sva lakṣaṇam eva vācyam vācakam ca bhavet tathā api abhilāpa saṃsṛṣṭa artha vijñānam sa vikalpakam na ca indriya vijñānam arthena niyamita pratibhāsa tvāt abhilāpa saṃsarga yogya pratibhāsam bhavati iti nirvikalpa kram 
[52,iii_53,i]	śrotra jñānam tarhi śabda sva lakṣaṇa grāhi śabda sva lakṣaṇam ca kiñcid vācyam kiñcid vācakam iti abhilāpa saṃsarga yogya pratibhāsam syāt tathā ca sa vikalpakam syāt na eṣa doṣaḥ sati api sva lakṣaṇasya vācya vācaka bhāve saṃketa kāla dṛṣṭa tvena gṛhyamāṇam sva lakṣaṇam vācyam vācakam ca gṛhītam syāt na ca saṃketa kāla bhāvi darśana viṣaya tvam vastunaḥ samprati asti yathā hi saṃketa kāla bhāvi darśanam adya niruddham tadvat tad viṣaya tvam api arthasya adya na asti tatas pūrva kāla dṛṣṭa tvam apaśyat śotra jñānam na vācya vācaka bhāva grāhi anena eva nyāyena yogi jñānam api sakala śabda artha avabhāsi tve api saṃketa kāla dṛṣṭa tva agrahaṇāt nirvikalpakam 
[54,i_54,ii]	tayā kalpanayā kalpanā svabhāvena rahitam śūnyam sat jñānam yat abhra antam tat pratyakṣam iti pareṇa sambandhaḥ kalpanā apoḍha tva abhra anta tve paraspara sāpekṣe pratyakṣa lakṣaṇam na pratyekam iti darśayitum tayā rahitam yat abhra antam tat pratyakṣam iti lakṣaṇayoḥ parasparasa apekṣayoḥ pratyakṣa viṣatyavam darśitam iti 
[55,i]	timiram akṣṇoḥ viplavaḥ indriya gatam idam vibhrama kāraṇam āśu bhramaṇam alāta ādeḥ mandam hi bhramyamāṇe alātā ādau na cakra bhrāntiḥ utpadyate tad artham āśu grahaṇena viśeṣyate bhramaṇam etat ca viṣaya gatam vibhrama kāraṇam nāvā gamanam nauyānam gacchantyām nāvi sthitasya gacchat vṛkṣa ādi bhrāntiḥ utpadyate iti yāna grahaṇam etat ca bāhya āśraya sthitaṃra vibhrama kāraṇam saṃkṣobhaḥ vāta pitta śleṣmaṇām vāta ādiṣu hi kṣobham gateṣu jvalita stambha ādi bhrāntiḥ utpadyate etat ca adhyātma gatam vibhrama kāraṇam 
[55,ii_55,iii]	sarvaiḥ eva ca vibhrama kāraṇaiḥ indriya viṣaya bāhya ādhyātmika āśraya gataiḥ indriyam eva vikarttavyam avikṛte indriye indriya bhrānti ayogāt ete saṃkṣobha paryantāḥ ādayaḥ yeṣām te tathā uktāḥ ādi grahaṇena kāca kāmalā ādayaḥ indriya sthāḥ gṛhyante āśunayana ānayana ādayaḥ viṣaya sthāḥ āśunayana ānayane hi kāryamāṇe alāte annivarṇa daṇḍa ābhāsā bhrāntiḥ bhavati hasti yāna ādayaḥ bāhya āśraya sthāḥ gāḍha marma prahāra ādayaḥ ādhyātmika āśraya sthāḥ vibhrama hetavaḥ gṛhyante taiḥ anāhitaḥ vibhramaḥ yasmin tathāvidham jñānam pratyakṣam 
[56,i_56,ii]	tat evam lakṣaṇam ākhyāya yaiḥ indriyam eva draṣṭṛ kalpitam mānasa pratyakṣa lakṣaṇe ca doṣaḥ udbhāvitaḥ sva saṃvedanam ca na abhyupagatam yogi jñānam ca teṣām vipratipatti nirākaraṇa artham prakāra bhedam pratyakṣasya darśayan āha tat caturvidham iti 
[56,iii_56,iv]	indriyasya jñānam indriya jñānam indriya āśritam yat tat pratyakṣam 
[57,i_58,i]	mānasa pratyakṣe paraiḥ yaḥ doṣaḥ udbhauvitaḥ tam nirākarttum mānasa pratyakṣa lakṣaṇam āha sve ātmīyaḥ viṣayaḥ indriya jñānasya tasya anantaraḥ na vidyate antaram asya iti antaram ca vyavadhānam viśeṣaḥ ca ucyate tatas ca antare pratiṣiddhe samāna jātīyaḥ dvitīya kṣaṇa bhāvi upādeya kṣaṇaḥ indriya vijñāna viṣayasya gṛhyate tathā ca sati indriya jñāna viṣa ya kṣaṇāt uttarakṣaṇaḥ eka santāna antarbhūtaḥ gṛhītaḥ sa sahakārī yasya indriya jñānasya tat tathā uktam dvividhaḥ ca sahakārī paraspara upakārī eka kārya kārī ca iha ca kṣaṇike vastuni atiśaya ādhānā ayogāt eka kārya kāri tvena sahakārī gṛhyate 
[59,i_59,ii]	viṣaya vijñānābhyām hi manaḥ vijñānam ekam kriyate yatas tad anayoḥ paraspara sahakāri tvam īdṛśena īdrinya vijñānena ālambana bhūtena api yogi jñānam janyate tad nirāsa artham samanantara pratyaya grahaṇam kṛtam samaḥ ca asau jñāna tvena anantaraḥ ca asau avyavahita tvena sa ca asau pratyayaḥ ca hetu tvāt samanantara pratyayaḥ tena janitam 
[60,i_61,ii]	tad anena eka santāna antarbhūtayoḥ eva indriya jñāna manaḥ vijñānayoḥ janya janaka bhāve manaḥ vijñānam pratyakṣam iti uktam bhavati tatas yogi jñānam para santāna vartti nirastam yadā ca indriya jñāna viṣayāt anyaḥ viṣayaḥ manaḥ vijñānasya tadā gṛhīta grahaṇāt āsañjitaḥ aprāmāṇya doṣaḥ nirastaḥ yadā ca indriya vijñāna viṣaya upādeya bhūtaḥ kṣaṇaḥ gṛhītaḥ tadā indriya jñānena agṛhītasya viṣaya antarasya grahaṇāt andha badhira ādi abhāva doṣa prasaṅgaḥ nirastaḥ 
[62,i_63,i]	etat ca manaḥ vijñānam uparata vyāpāre cakṣuṣi pratyakṣam ivyate vyāpāravati tu cakṣuṣi yat rūpa jñānam tat sarvam cakṣuḥ āśritam eva itarathā cakṣuḥ āśrita tva anupapattiḥ kasyacid api vijñānasya etat ca siddhānta prasiddham mānasam pratyakṣam na tu asya prasādhakam asti pramāṇam evaṃjātīyakam tat yadi syāt na kaścid doṣaḥ syāt iti vaktum lakṣaṇam ākhyātam asya iti 
[64,i_64,ii]	sva saṃvedanam ākhyātum āha sarva citta ityādi cittam artha mātra grāhi caittāḥ viśeṣa avasthā grāhiṇaḥ sukha ādayaḥ sarve ca te citta caittāḥ ca sarva citta caittāḥ sukha ādayaḥ eva sphuṭa anubhava tvāt sva saṃviditāḥ na anyā citta avasthā iti etat āśaṅkā nivṛtti artham sarva grahaṇam kṛtam na asti sā kācid citta avasthā yasyām ātmanaḥ saṃvedanam na pratyakṣam syāt 
[64,iii_66,ii]	yena hi rūpeṇa ātmā vedyate tad rūpam ātma saṃvedanam pratyakṣam iha ca rūpa ādau vastuni dṛśyamāne āntaraḥ sukha ādi ākāraḥ tulya kālam saṃvedyate na ca gṛhyamāṇa ākāraḥ nīla ādiḥ sāta rūpaḥ vedyate iti śakyam vaktum yatas nīla ādiḥ sāta rūpeṇa anubhūyate iti na niścīyate yadi hi sāta rūpaḥ ayam nīlādiḥ anubhūyate iti niścīyeta syāt tadā tasya sātā ādi rūpa tvam yasmin rūpe pratyakṣasya sākṣātkāri tva vyāpāraḥ vikalpena anugamyate tat pratyakṣam na ca nīlasya sāta rūpa tvam anugamyate tasmāt asātān nīla ādi arthāt anyat eva sātam anubhūyate nīla anubhava kāle tat ca jñānam eva tatas asti jñāna anubhavaḥ tat ca jñāna rūpa vedanam ātmanaḥ sākṣātkāri nirvikalpakam abhrāntam ca tatas pratyakṣam 
[67,i_67,iv]	yogi pratyakṣam vyākhyātum āha bhūtaḥ sat bhūtaḥ arthaḥ pramāṇena dṛṣṭaḥ ca sadbhūtaḥ yathā catvāri ārya satyāni bhūtasya bhāvanā punar punar cetasi viniveśanam bhāvanāyāḥ prakarṣaḥ bhāvyamāna artha ābhāsasya jñānasya sphuṭa ābha tva ārambhaḥ prakarṣasya paryantaḥ yadā sphuṭa ābha tvam īṣat asampūrṇam bhavati yāvat hi sphuṭa ābha tvam aparipūrṇam tāvat tasya prakarṣa gamanam 
