[1,1]	  namo mañjunāthāya ॥  
[6,3]	      tatra sādhanadharmabhāvamātrānvayini sādhyadharme svabhāvo hetuḥ । vastuto liṅgisvabhāva evāparāparavyāvṛttyā dharmabhede 'pi hetuḥ । hetusvabhāve 'nvayavyabhicārābhāvād viśeṣaṇaṃ lakṣaṇe tanmātrānvayena paramatāpekṣam । pare hy arthāntaranimittam atadbhāvamātrānvayinam api dharmaṃ svabhāvam icchantīti viśeṣaṇena tathāvidhasyātatsvabhāvatāṃ tasmin sādhye hetor vyabhicāraṃ cāha, yathā vināśe hetumati kṛtakatvasya ॥  
[6,9]	    tasya dvidhā prayogaḥ, sādharmyeṇa vaidharmyeṇa ca, yathā - yat sat, tat sarvaṃ kṣaṇikam, yathā ghaṭādayaḥ । saṃś ca śabda iti । tathā - kṣaṇikatvābhāve sattvābhāvaḥ, yathā vandhyāsute । saṃś ca śabda iti sarvopasaṃhāreṇānvayena vyatirekeṇa ca vyāptipradarśanalakṣaṇau sādharmyavaidharmyaprayogau ॥  
[6,14]	    atra sāmarthyād eva pratijñārthapratīter na pratijñāprayogaḥ । apradarśite prameye kathaṃ tatpratītir iti cet, svayaṃ pratipattau kaḥ prameyasya darśayitā । pradeśasthaṃ dhūmam upalabdhavatas tasyāgninā vyāptismaraṇe tatsāmarthyād evāgnir atreti bhavati । na ca tatra kaścid agnir atrety asmai nivedayati । nāpi svayaṃ prāg eva pratipadyate kiñcit, pramāṇam antareṇaivaṃ pratīter nimittābhāvāt, pratītau vā liṅgasya vaiyarthyāt । svayam evākasmād agnir atreti prameyaṃ vyavasthāpya punas tatpratipattaye liṅgam anusaratīti ko 'yaṃ pratipattikramaḥ । pareṇāpi tad ucyamānaṃ plavata eva, upayogābhāvāt ॥  
[7,6]	  viṣayopadarśanam upayogaś cet, tenaiva tāvad darśitena ko 'rthaḥ । yadi pratipattir anyathā na syāt, sarvaṃ śobheta । tasmād eṣa svayaṃ pratītau viṣayopasthāpanena kenacid vināpi pratiyann asmān kāryiṇo dṛṣṭvā parvabrāhmaṇa iva vyaktaṃ mūlyaṃ mṛgayate । asmad vacanād api svayaṃ siddham eva liṅgam anusṛtya pratyetīti ko 'nayor avasthayor viśeṣaḥ । dṛṣṭā ca pakṣadharmasambandhavacanamātrāt pratijñāvacanam antareṇāpi pratītir iti kas tasyopayogaḥ । svaniścayavadanyeṣāṃ niścayotpādanāya ca sādhanam ucyate, tatrāyaṃ svayaṃ prameyopadarśanam antareṇāpi pratipadya paraṃ pratipādayann apūrvam arthakramam āśrayata iti kim atra kāraṇam । tasmān na prameyavacanena kiñcit, anyathāpi tatpratipatter utpatter iti ॥  
[7,16]	    etenopanayanigamanādikam api pratyuktam, etāvataiva prayogeṇa pratītibhāvād iti ḍiṇḍikarāgaṃ parityajyākṣiṇī nimīlya cintaya tāvat - kim iyatā pratītiḥ syān na veti । bhāve vā kiṃ prapañcamālayetīyān eva sādhanavākyaprayogo jyāyān ॥  
[8,3]	    atrāpi na kaścit pakṣadharmasambandhavacanaprayogakramaniyamaḥ, sarvathā gamakatvāt ॥  
[8,5]	    sambandhavacane 'pi prayoga eva bhidyate nārthaḥ, ubhayathā dharmabhede 'pi tadbhāvasyaiva khyāpanāt । na hy ekāntenātatsvabhāvasya bhāve 'nyabhāvaḥ, kṛtakatvabhāva iva prayatnotpattidharmatāyāḥ । nāpy atatsvabhāvasya nivṛttau tannivṛttir akāryasya, yathānayor eva dharmayor viparyayeṇa । tasmād anvayavyatirekayor yathālakṣaṇam eko 'pi prayukto dvitīyam ākṣipatīti naikatra sādhanavākye dvayoḥ prayoga iṣyate, vaiyarthyāt, tatsvabhāvatayā tadanvayasiddhau tadabhāve 'bhāvasiddheḥ, tadabhāve 'bhāvasiddhau ca tadanvayasiddheḥ ॥  
[8,13]	  tadabhāva evābhāvakhyātir yathā syān nānyatra na viruddha iti niyamakhyāpanārtho 'pi vyatirekaprayogo na yuktaḥ, anyaviruddhayor api vipakṣatvāt ॥      
[9,1]	    katham idānīṃ gamyate sato 'vaśyaṃ naśvaraḥ svabhāva iti yenānvayavyatirekau syātām । vināśahetvayogāt । svabhāvata eva bhāvā naśvarāḥ ।  
[9,3]	  naiṣāṃ niṣpannānām anyato nāśotpattiḥ, tasyāsāmarthyāt । na hi vināśahetur bhāvasvabhāvam eva karoti, tasyānyato 'bhinirvṛtteḥ । nāpi svabhāvāntarakaraṇe tadavasthasya bhāvasya kiñcid iti tathopalabdhyādiprasaṅgaḥ । nāpi svabhāvāntaram asyāvaraṇam, tadavasthe tasminn āvaraṇasyāpy ayogāt । nāpi vināśahetunā bhāvābhāvaḥ kriyate, abhāvasya vidhinā kāryatvopagame vyatirekāvyatirekavikalpānatikramāt । bhāvapratiṣedharūpatve ca bhāvaṃ na karotīti syāt । tathā cākartur ahetutvam iti na vināśahetuḥ kaścit ॥  
[9,11]	    vaiyarthyāc ca । yadi svabhāvato naśvaro bhāvaḥ, tasya na kiñcin nāśahetunā, svayaṃ tatsvabhāvatayaiva nāśāt । yo hi yasya svabhāvaḥ, sa svahetor evotpadyamānas tādṛśo bhavati, na punas tadbhāve hetvantaram apekṣate prakāśadravoṣṇakaṭhinādidravyavat । na hi prakāśādayas tadātmāna utpannāḥ punaḥ prakāśādibhāve hetvantaram apekṣante, tadātmanas tādātmyābhāve nairātmyaprasaṅgāt । tadvad asthitidharmā cet svabhāvato bhāvo niṣpannaḥ punar na tadātmatāyāṃ hetvantaram apekṣeta ॥  
[10,3]	    bījādivad anekānta iti cet, syād etat - bījādayo 'ṅkurāder jananasvabhāvāḥ santo 'pi na kevalā janayanti, salilādikāraṇāntarāpekṣatvāt, tadvad bhāvo 'pi vināśe syād iti । na, tatsvabhāvasya jananād ajanakasya cātatsvabhāvatvāt । ata eva tayor avasthayor vastubhedo niśceyaḥ, bhāvānāṃ svabhāvānyathātvābhāvāt tatsvabhāvasya paścād iva prāg api jananaprasaṅgāt । tasmād yo 'ntyo 'vasthābhedaḥ, sa evāṅkurādijananasvabhāvaḥ । pūrvabhāvinas tv avasthāviśeṣāḥ kāraṇakāraṇānīti nānekāntaḥ, kṣaṇikeṣu bhāveṣv aparāparotpatter aikyābhāvāt ॥  
[10,12]	    te 'ntyāḥ samarthāḥ kiṃ na janayantīti cet, janayanty eva, nātrānyathābhāvaḥ, svabhāvāvaiparītyāt ॥      
[11,1]	  teṣu sarveṣu sahakāriṣu samarthasvabhāveṣu ko 'parasyopayoga iti cet, na vai bhāvānāṃ kācit prekṣāpūrvakāritā, yataḥ - ayam eko 'pi samarthaḥ kim atrāsmābhir ity apare nivarteran । te hi nirabhiprāyavyāpārāḥ svahetupariṇāmopanidhidharmāṇas tatprakṛtes tathābhavanto nopālambham arhanti ॥  
[11,6]	  samarthāḥ kiṃ nāparāparaṃ janayantīti cet, na, tatraivaikatra sāmarthyāt, tasyaivaikasya janane samarthā nānyasyeti nāparāparajananam ॥  
[11,9]	    bhinnasvabhāvebhyaś cakṣurādibhyaḥ sahakāribhya ekakāryotpattau na kāraṇabhedāt kāryabhedaḥ syād iti cet, na, yathāsvaṃ svabhāvabhedena tadviśeṣopayogataḥ, tadupayogakāryasvabhāvaviśeṣāsaṅkurāt । yathā mṛtpiṇḍakulālasūtrādibhyo bhavato ghaṭasya mṛtpiṇḍād amṛtsvabhāvebhyo vṛkṣādibhyo bhinnaḥ svabhāvaḥ kulālāt tasyaiva mṛdātmanaḥ sataḥ saṃsthānaviśeṣātmatayā tadanyebhyo bhinnaḥ sūtrāt tasyaiva mṛtsaṃsthānaviśeṣātmanaś ca krāder vibhaktaḥ svabhāvo bhavati । tad evaṃ na kulālān mṛtsvabhāvatā na mṛdaḥ saṃsthānaviśeṣaḥ । na ca tayoḥ śaktiviśeṣaviṣayabhede 'pi tajjanitaviśeṣabhedasya kāryasya svabhāvabhedaḥ, mṛtsaṃsthānayor aparasparātmatayā saṃsthānamṛtsvabhāvaviśeṣābhyāṃ tayor apratibhāsanaprasaṅgāt ॥  
[12,5]	    anyad eva saṃsthānaṃ guṇo mṛddravyāt । tena bhinnaḥ svabhāvaḥ kulālamṛtpiṇḍayor upayogaviṣaya iti cet, uktam atra । api ca yadi tatsaṃsthānaṃ bhinnaṃ mṛdaḥ, kulālaḥ kiṃ na pṛthak karoti । guṇasya dravyapāratantryān na pṛthak siddhir iti । tatsaṃsthānādhārātmakaṃ tad dravyaṃ saṃsthānaṃ vā tadādheyātmakaṃ prakṛtyā kiṃ kulālam apekṣanta iti cet, na, tataḥ parasparasambandhayogyatāpratilambhāt । anyathā prāg api mṛtpiṇḍasya saṃsthānaviśeṣasambandhayogyatve vastudharmatayaiva saṃsthānaviśeṣasambandhaprasaṅgaḥ । evaṃ tarhi sā yogyatā mṛddravyasya kulālāt । na cānayoḥ svabhāvabhedaḥ, bhede vā pūrvavat prasaṅgād iti । asti tāvat kiñcid ekasvabhāvatve 'py anekapratyayopahitasvabhāvaviśeṣam iti na nirbandho mṛtsaṃsthānayor ekasvabhāvatvasādhane ॥      
[13,1]	    tenasahakāriṇaḥ pratyayā naikopayogaviṣayāḥ kāryasyaikasvabhāvatve 'pi vastuta iti yatheha kāraṇabhedo bhinnaviśeṣopayogān naikakāryaḥ, tathā cakṣurādibhyo vijñānotpattāv unneyaḥ । tathā hi samanantarapratyayād vijñānāc cakṣurvijñānasyopalambhātmatā, tasyaivopalambhātmanaḥ sataś cakṣurindriyād rūpagrahaṇayogyatāpratiniyamaḥ, viṣayāt tattulyarūpatety abhinnatve 'pi vastutaḥ kāryasya kāraṇānāṃ bhinnebhyaḥ svabhāvebhyo bhinnā eva viśeṣā bhavantīti na kāraṇabhede 'py abhedas tatkāryaviśeṣasyeti ta evaite kāraṇaśaktibhedā yathāsvaṃ prativiśiṣṭakāryajanane 'vyavadheya śaktitayā pratyupasthitāḥ kṣaṇikatvāt sāmagrīkāryasya svabhāvasthityāśraya ity ucyante । tathā hi tat tebhyaḥ samastebhya upalambhātmakaṃ rūpagrahaṇapratiniyataṃ viṣayarūpaṃ ceti, prativiśiṣṭa svabhāvam ekaṃ jātam iti ॥      
[14,1]	    apratirodhaśaktikeṣv anantarakāryeṣu kṣaṇikeṣv anādheyaviśeṣeṣu pratyayeṣu parasparaṃ kaḥ sahakārārtha iti cet, na vai sarvatrātiśayotpādanaṃ sahakriyā, kiṃ tarhy ekārthakaraṇam api yadbahūnām, yathā'ntyasya kāraṇakalāpasya । tad eva mukhyaṃ sahakāriṇāṃ sahakāritvam, tasyaivāntyasya kāraṇatvāt, tatra ca kṣaṇa ekasya svabhāvasyāvivekād viśeṣasya kartum aśakyatvāt, svabhāvāntarotpattilakṣaṇatvād viśeṣotpatteḥ । bhāvāntaraprasavasambhave ca nāntyaḥ syāt । tataś ca na sākṣātkāraṇaṃ syāt । tasmān na kāraṇasya sahakāribhyo viśeṣotpattiḥ । te samarthā eva svabhāvato 'ntyāḥ pratyayāḥ saha jāyante kṣaṇikā yeṣāṃ prākpaścātpṛthagbhāvo nāsti, yato 'nantaraṃ kāryotpattiḥ, tatraikārthakriyaiva sahakāriṇāṃ sahakāritvam ॥  
[14,12]	    samarthaḥ kuta utpanna iti cet, svakāraṇebhyaḥ ॥  
[14,13]	  tāny enam aparapratyayasannidhāna eva kiṃ janayanti, kadācid anyathāpi syuḥ । tataś caiko 'pi kvacij janayed iti cet, aparāparapratyayayogena pratikṣaṇaṃ bhinnaśaktayaḥ santanvantaḥ saṃskārāḥ, yady api kutaścit sāmyāt sarūpāḥ pratīyante, tathāpi bhinna evaiṣāṃ svabhāvaḥ, tena kiñcid eva kasyacit kāraṇam ॥  
[15,3]	  tatra yo 'vyavadhānādideśarūpendriyādikalāpaḥ, sa vijñānajanane samartho hetuḥ । yas teṣāṃ parasparopasarpaṇādyāśrayaḥ pratyayaviśeṣaḥ, sa taddhetujanane samarthaḥ । teṣāṃ ca na pūrvaṃ na paścān na pṛthag bhāva iti samarthān api pūrvāparapṛthagbhāvabhāvino doṣā nopalīyante । tenaiṣāṃ parasparopasarpaṇādihetur yaḥ, sa samarthahetur iti tasya na kadācid apy anyathābhāvaḥ । anena nyāyena sarvatra hetuphalabhāvapratiniyama unneyaḥ, pratikṣaṇam aparāparasvabhāvabhedānvayinīṣu bhāvaśaktiṣu, na sthiraikasvabhāveṣu bhāveṣu, svabhāvānyathātvābhāvāt samarthāsamarthasvabhāvayoḥ kriyā kriyāyogāt ॥  
[15,12]	  anyasahitaḥ karoti, na kevala iti cet, kiṃ kevalasya kāryajanane na samarthaḥ svabhāvaḥ । samarthaḥ । kiṃ na karoti । akurvan kathaṃ samarthaḥ, kuvindādayaḥ paṭādikaraṇe samarthā api na sarvadā kurvantīti cet, krīḍanaśīlo devānāmpriyaḥ sukhaidhitaḥ kṛtaṃ kṛtaṃ punaḥ kārayati । tathā hi bījādyupanyāse nirloṭhitam etat । tasmāt tatsvabhāvasyānyathātvābhāvāt taddharmaṇas tathābhāvo 'ntyāvasthāvadanivāryaḥ ॥      
[16,1]	  antyāvasthāyāṃ prāg asamarthasya sāmarthyotpattau tatsāmarthyasya tatsvabhāvatve 'pūrvotpattir eva sā । atatsvabhāvatve so 'kāraka eva, sāmarthyākhyāt padārthāntarāt kāryotpatteḥ ॥  
[16,4]	    api ca sa tadaiva tāvat sannihitasakalasahakārī kāryaṃ kiṃ karoti । kurvan dṛṣṭaḥ, tena karotīti brūmaḥ । mahāsāmarthyaṃ mahāprabhāvasya bhavato darśanaṃ, yad idaṃ bhāvān atatsvabhāvān api svabhāvamātreṇa citreṣu vyāpāreṣu niyuṅkte । yadi nāma kadācit kiñcit kathaṃcid atra bhavato darśanaviṣayam atikrāmet, hanta, aprasavadharmakam apetasantānaṃ syād itīyaṃ naś cintā cittaṃ dunoti । na vai vayam atatsvabhāvānāṃ bhāvānām asmaddarśanāt kāryakriyāṃ brūmaḥ । kiṃ tarhi tatkriyādharmāṇaḥ svabhāvata eva te । tān paśyanto vidmaḥ - ta ete kārakā iti । satyam, idam apy asti - svabhāvas teṣāṃ kāryakriyādharmā । tena na samastapratyayānāṃ kāryam akṛtvopekṣāpattir iti, sa kiṃ teṣām akṣepakriyādharmā svabhāvas tadaivāntyāvasthāyām utpanna āhosvit prāg apy āsīt । āsīt, apracyutotpannasthiraikasvabhāvānāṃ bhāvānāṃ kadācit kasyacit svabhāvasyābhāvavirodhāt । tat kim idānīṃ mātā ca vandhyā ca, ko vāsya bhāṣitasyārthaḥ - akṣepakriyāsvabhāvo na karoti ca ॥  
[17,3]	    sahitas tatsvabhāvo na kevala iti cet, anyas tarhi kevalaḥ, anyaḥ sahitaḥ, svabhāvabhedalakṣaṇatvād bhāvabhedasya । na hi sa sāhitye 'pi pararūpeṇa kartā । svarūpaṃ cāsya prāg api tad eveti kathaṃ kadācit kriyāvirāmaḥ । yasyāpi kṣaṇiko bhāvaḥ, tasyāpi kiṃ na kevalaḥ karoti । karoty eva yadi kevalaḥ syāt । kiṃ na bhavati । kṣaṇikatvāt, uktam atra yādṛśasya kriyā । sa katham eka kṣaṇabhāvyanyathā syāt । yaś ca bhavati, sa eva na bhavatīti nāyaṃ prasaṅgaḥ, kārakākārakayoḥ svabhāvataddhetvor virodhāt ॥  
[17,11]	    yo 'pi manyate - akṣepakriyādharmaiva sa tasya svabhāvaḥ, na sa sāhityam apekṣate, kāryaṃ tu pratyayāntarāpekṣam iti sahitebhya eva jāyate, na kevalebhya iti, tasyāpi - kathaṃ sa kevalo 'pi karoty eva kāryaṃ ca tasmān notpadyata iti tadavastho virodhaḥ । na kevalaḥ karoty eveti cet, katham idānīm akṣepakriyāsvabhāvaḥ । nanv etad eva paridīpitaṃ bhavati - karoty eveti । kāryaṃ cāyaṃ kevalo 'pi samarthaḥ san param apekṣamāṇaṃ katham upekṣeta । param anādṛtyaitat prasahya kuryāt । evaṃ hy anenātmanaḥ sāmarthyam api darśitaṃ bhavati । kāryaṃ param apekṣata iti tataḥ kevalād anutpattir uktā bhavati । sa kevalo 'pi samarthasvabhāva iti tata utpattir iti, ete caikatra kathaṃ syātām । tad ayam īrṣyāśalyavitudyamānamarmā viklavaṃ vikrośatīty upekṣām arhati ॥  
[18,8]	  tasmād idam ekārthakriyālakṣaṇaṃ sahakāritvaṃ kṣaṇikānām eva bhāvānāṃ sambhavati, na sambhavatpṛthagbhāvānām akṣaṇikānām, pṛthakkaraṇasambhavena sahakāritvaniyamāyogāt ॥  
[18,11]	    yatra tu santānopakāreṇa bhāvāḥ pratyayatāṃ pratipadyante yathā taṇḍulabījādibhya odanāṅkurādijanmani dahanodakapṛthivyādayaḥ, tatra viśeṣotpādanaṃ pratyayānāṃ sahakriyā santānāśrayeṇocyate, na dravyāśrayeṇa, kṣaṇike dravye viśeṣānupapatteḥ । na hi taṇḍulādīnāṃ dahanodakādibhyaḥ krameṇa svabhāvātiśayānutpattāv odanādyabhinirvṛttir astīndriyasya vā prabhāsvarād apavarakaṃ praviṣṭasya svopakāribhyaḥ svasantānaviśeṣānutpattāv arthapratipattijananam ॥  
[19,4]	  akṣepa kāriṣu punar indriyādiṣu na parasparato viśeṣotpattiḥ । tatra yathāsvaṃ pratyayaiḥ parasparopasarpaṇādyāśrayair ye yogyadeśādyavasthā jātāḥ, te saha svabhāvaniṣpattyā jñānahetutāṃ pratipadyanta ity ekārthakriyaiva sahakāritvam । yatra tu viśeṣotpādanena sahakāriṇāṃ pratyayatvam, tatra hetusantānasya pratyayāntarāpekṣeti tataḥ svabhāvāntarapratilambha ucyate । tatra svarasataḥ pūrvakṣaṇanivṛttau hetupratyayānāṃ tebhya eva viśiṣṭakṣaṇaviśeṣotpattiḥ, krameṇātiśayavato 'ntyāt kāraṇakalāpāt kāryotpattiḥ ॥  
[19,12]	    sahakāriṇaḥ samutpannaviśeṣāt kāraṇāt kāryotpattau viśeṣasyaivotpattir na syāt । aviśiṣṭād viśeṣotpattau kāryasyāpi syāt । tataś ca parasparato viśeṣotpādānapekṣiṇaḥ sahakāriṇaḥ kāryaṃ kuryuḥ । tenākṣaṇikānām api sahakāryanapekṣiṇāṃ kāraṇatā syāt । na cāpekṣyebhyaḥ svabhāvātiśayotpattiḥ । atha viśeṣotpattāv api sahakāriṇā kṛtaviśeṣa evopatiṣṭheta, anavasthaivaṃ syāt । na ca sahakāriṇo nityaṃ parasparasya kāryotpādānuguṇaviśeṣotpādanayogyāvasthāḥ, yena nityānuṣakta evaiṣāṃ parasparakṛto viśeṣaḥ syāt, tadupāyāpāyayoḥ kāryavyaktivirāmadarśanāt । tenādyo viśeṣaḥ sahakāribhyo nirupakārasya notpadyeteti ॥  
[20,6]	  nāsmākaṃ punaḥ punar vacane kaścid udvegaḥ । yady evam api lokasya nyāyapratipattiḥ syāt, punar api brūmaḥ । na viśeṣotpādanād eva sahakāriṇāṃ sahakāritvam, yena tadabhāvād viśeṣotpattāv asahakāriṇaḥ syuḥ, kiṃ tarhy ekārthakriyāpi । sāpi na bhaven nirviśeṣāṇāṃ parasparataḥ, bhāve vā tadavasthāyām iva pṛthag api syāt । tathā ca tadviśeṣabhāvi kāryam api kevalāt syād iti cet, sarvam uktam - pratikṣaṇam aparāparaiḥ pratyayair yathā bhāvasantāne viśeṣotpattiḥ, yogyadeśatādyavasthābhedāḥ kāryakāriṇaḥ, teṣāṃ ca yata utpattiḥ, pratyekaṃ sāmarthye 'pi yathā kevalānām akriyā kartṛviśeṣapṛthagbhāvābhāvāt, kāryadvaividhyaṃ ca - sahakārijanitaviśeṣaparamparotpattidharmakam anyac ca, aṅkurādivad akṣepakārīndriyavijñānādivac ca, kāryakāraṇasvabhāvabhedād iti । tatra sahakāribhyaḥ santānopakārāpekṣakāraṇakāryajanmany ādyaḥ sahakāriviśeṣo na sahakārikṛtaviśeṣajanmā 'nantarakāryavat । tataḥ prabhṛti ye viśeṣās te tajjanmānas tatprakṛtikatvāt, tasya teṣāṃ ceti nānavasthā । tathā yady akṣaṇiko 'pi bhāvo 'nāhitātiśayaḥ sahakāriṇādyaviśeṣahetuvat kāryaṃ kurvīta, karotu । sa punar asya svabhāvo 'kṣepakartṛdharmā cet, pṛthagbhāvasambhavāt, kevalo 'pi tathā syād ity uktam । atatsvabhāvas tu tadāpy akāraka eva ॥  
[21,6]	  tasmān nākṣaṇikeṣu hetuṣv ekārthakriyayā kasyacit sahakāritvaniyamo nāpi santānopakāreṇeti na tasya kaścit sahakārī tataḥ kevalo 'pi kuryād iti, prāyas tu saṅghātasthāyī bhāvasantānaḥ sahakāripratyayopajanitaviśeṣaḥ svakāryaṃ kurvan dṛṣṭo bījādivad iti । sthirahetuvādinaḥ pratyayāntarāpekṣā vyaktaṃ kārakasvabhāvāntarotpattir iti । nākāryasyāpekṣety ucyate, kārakasvabhāvasya prāg api bhāve 'kriyā'yogāt ॥  
