<1>

{1,1}

[1,1.1]	athāto dharmajijñāsā.
[1,3.7]	api vā kāraṇagrahaṇe prayuktāni pratīyeran.
[1,3.8]	teṣv adarśanād virodhasya samā vipratipattiḥ syāt.
[1,3.9]	śāstrasthā vā tannimittatvāt.
[1,3.10]	coditaṃ tu pratīyetāvirodhāt pramāṇena.
[1,3.11]	prayogaśāstram iti cet.
[1,3.12]	nāsanniyamāt.
[1,3.13]	avākyaśeṣāc ca.
[1,3.14]	sarvatra ca prayogāt sannidhānaśāstrāc ca.
[1,3.15]	anumānavyavasthānāt tatsaṃyuktaṃ pramāṇaṃ syāt.
[1,3.16]	api vā sarva dharmaḥ syāt tannyāyatvād vidhānasya.
[1,3.17]	darśanād viniyogaḥ syāt.
[1,3.18]	liṅgābhāvāc ca nityasya.
[1,3.19]	ākhyā hi deśasaṃyogāt.
[1,3.20]	na syād deśāntareṣv iti cet.
[1,3.21]	syādyogākhyā hi māthuravat.
[1,3.22]	karmadharmo vā pravaṇavat.
[1,3.23]	tulyaṃ tu kartṛdharmeṇa.
[1,3.24]	prayogotpatyaśāstratvāc chabdeṣu na vyavasthā syāt.
[1,3.25]	śabde prayatnaniṣpatter aparādhasya bhāgitvam.
[1,3.26]	anyāyaś cānekaśabdattvam.
[1,3.27]	tatra tattvam abhiyogaviśeṣāt syāt.
[1,3.28]	tadaśaktiś cānurūpatvāt.
[1,3.29]	eka deśatvāc ca vibhāktivyatyaye syāt.
[1,3.30]	prayogacodanābhāvād arthaikatvam avibhāgāt.
[1,3.31]	adravyaśabdatvāt.
[1,3.32]	anyadarśanāc ca.
[1,3.33]	ākṛtis tu kriyārthatvāt.
[1,3.34]	na kriyā syād iti cedarthāntare vidhānaṃ na dravyam iti cet.
[1,3.35]	tadarthatvāt prayogasyāvibhāgaḥ.

{1,4}

[1,4.1]	uktaṃ samāmnāyaidam arthyaṃ tasmāt sarvaṃ tadarthaṃ syāt.
[1,4.2]	api vā nāmadheyaṃ syād yadutpattāvapūrvam avidhāyakatvāt.
[1,4.3]	yasmin guṇopadeśaḥ pradhānato 'bhisambandhaḥ.
[1,4.4]	tatprakhyañ cānyaśāstram.
[1,4.5]	tadvyapadeśaṃ ca.
[1,4.6]	nāmadheye guṇaśruteḥ syād vidhānam iti cet.
[1,4.7]	tulyatvāt kriyayor na.
[1,4.8]	aikaśabdye parārthavat.
[1,4.9]	tadguṇās tu vidhāyer annavibhāgād vidhānārthe na ced anyena śiṣṭāḥ.
[1,4.10]	barhirājyayor asaṃskāre śabdalābhād atacchabdaḥ.
[1,4.11]	prokṣaṇīṣv arthasaṃyogāt.
[1,4.12]	tathānirmanthye.
[1,4.13]	vaiśvadeve vikalpa iti cet.
[1,4.14]	na vā prakaraṇāt pratyakṣavidhānāc ca na hi prakaraṇaṃ dravyasya.
[1,4.15]	mithaś cānarthasambandhaḥ.
[1,4.16]	parārthatvād guṇānām.
[1,4.17]	pūrvavanto 'vidhānārthās tatsāmarthyaṃ samāmnāye.
[1,4.18]	guṇasya tu vidhānārthe tadguṇāḥ prayoge syur anarthakā na hi taṃ pratyarthavattāsti.
[1,4.19]	taccheṣo nopapadyate.
[1,4.20]	avibhāgād vidhānārthe stutyarthenopapadyeran.
[1,4.21]	kāraṇaṃ syād iti cet.
[1,4.22]	ānarthakyād akāraṇaṃ kartur hi kāraṇāni guṇārtho hi vidhīyate.
[1,4.23]	tatsiddhiḥ.
[1,4.24]	jātiḥ.
[1,4.25]	sārūpyāt.
[1,4.26]	praśaṃsā.
[1,4.27]	bhūmā.
[1,4.28]	liṅgasamavāyāt.
[1,4.29]	sandigdheṣu vākyaśeṣāt.
[1,4.30]	arthād vā kalpanaikadeśatvāt.

<2>

{2,1}

[2,1.1]	bhāvārthāḥ karmaśabdās tebhyaḥ kriyā pratīyetaiṣa hy artho vidhīyate.
[2,1.2]	sarveṣāṃ bhāvo 'rtha iti cet.
[2,1.3]	yeṣām utpattau sve prayoge rūpopalabdhis tāni nāmāni tasmāt tebhyaḥ parākāṅkṣā bhūtatvāt sve prayogai.
[2,1.4]	yeṣāṃ tūtpattāv arthe sve prayogo na vidyate tāny ākhyātāni tasmāt tebhyaḥ pratīyetāśritatvāt prayogasya.
[2,1.5]	codanā punar ārambhaḥ.
[2,1.6]	tāni dvaidhaṃ guṇapradhānabhūtāni.
[2,1.7]	yair dravyaṃ na cikīrṣyate tāni pradhānabhūtāni dravyasya guṇabhūtatvāt.
[2,1.8]	yais tu dravyaṃ cikīrṣyate guṇas tatra pratīyeta tasya dravyapradhānatvāt.
[2,1.9]	dharmamātre tu karma syād anirvṛtteḥ prayājavat.
[2,1.10]	tulyaśrutitvād vetaraiḥ sadharmaḥ syāt.
[2,1.11]	dravyopadeśa iti cet.
[2,1.12]	na tadarthatvāl lokavat tasya ca śeṣabhūtatvāt.
[2,1.13]	stutaśastrayos tu saṃskāro yājyāvad devatābhidhānatvāt.
[2,1.14]	arthena tv apakṛṣyeta devatānām acodanārthasya guṇabhūtatvāt.
[2,1.15]	vaśāvad vā guṇārthaṃ syāt.
[2,1.16]	na śrutisamavāyitvāt.
[2,1.17]	vyapadeśabhedāc ca.
[2,1.18]	guṇaś cānarthakaḥ syāt.
[2,1.19]	tathā yājyāpurorucoḥ.
[2,1.20]	vaśāyām arthasamavāyāt.
[2,1.21]	yac ceti vārthavattvāt syāt.
[2,1.22]	na tvāmnāteṣu.
[2,1.23]	dṛśyate.
[2,1.24]	api vā śrutisaṃyogāt prakaraṇe stautiśaṃsatī kriyotpāttiṃ vidadhyātām.
[2,1.25]	śabdapṛthaktvāc ca.
[2,1.26]	anarthakaṃ ca tadvacanam.
[2,1.27]	anyaś cārthaḥ pratīyate.
[2,1.28]	abhidhānaṃ ca karmavat.
[2,1.29]	phalanirvṛttiś ca.
[2,1.30]	vidhimantrayor aikārthyam aikaśabdyāt.
[2,1.31]	api vā prayogasāmarthyān mantro 'bhidhānavācī syāt.
[2,1.32]	taccodakeṣu mantrākhyā.
[2,1.33]	śeṣe brāhmaṇaśabdaḥ.
[2,1.34]	anāmnāteṣv amantratvamāmnāteṣu hi vibhāgaḥ.
[2,1.35]	teṣām ṛgyatrārthavaśena pādavyavasthā.
[2,1.36]	gītiṣu sa mākhyā.
[2,1.37]	śeṣe yajuḥ śabdāḥ.
[2,1.38]	nigado vā caturthaṃ syād dharmaviśeṣāt.
[2,1.39]	vyapadeśāc ca.
[2,1.40]	yajūṃṣi vā tadrūpatvāt.
[2,1.41]	vacanād dharmaviśeṣaḥ.
[2,1.42]	arthāc ca.
[2,1.43]	guṇārtho vyapadeśaḥ.
[2,1.44]	sarveṣām iti cet.
[2,1.45]	na, ṛgvyapadeśāt.
[2,1.46]	arthaikatvād ekaṃ vākyaṃ sākāṅkṣaṃ ced vibhāge syāt.
[2,1.47]	sameṣu vākyabhedaḥ syāt.
[2,1.48]	anuṣaṅgo vākyasamāptiḥ sarveṣu tulyayogitvāt.
[2,1.49]	vyavāyān nānuṣajyeta.

{2,2}

[2,2.1]	śabdāntare karmabhedaḥ kṛtānubandhatvāt.
[2,2.2]	ekasyaivaṃ punaḥ śrutir aviśeṣād anarthakaṃ hi syāt.
[2,2.3]	prakaraṇaṃ tu paurṇamāsyāṃ rūpāvacanāt.
[2,2.4]	viśeṣadarśanāc ca sarveṣāṃ sameṣu hy apravṛttiḥ syāt.
[2,2.5]	guṇas tu śrutisaṃyogāt.
[2,2.6]	codanā vā guṇānāṃ yugapacchāstrāc codite hi tadarthatvāt tasyatasyopadiśyeta.
[2,2.7]	vyapadeśaś ca tadvat.
[2,2.8]	liṅgadarśanāc ca.
[2,2.9]	paurṇamāsīvad upāṃśuyājaḥ syāt.
[2,2.10]	codanā vāprakṛtatvāt.
[2,2.11]	guṇopabandhāt.
[2,2.12]	prāye vacanāc ca.
[2,2.13]	āghārāgnihotram arūpatvāt.
[2,2.14]	saṃjñopabandhāt.
[2,2.15]	aprakṛtatvāc ca.
[2,2.16]	codanā vā śabdārthasya prayogabhūtatvāt tatsannidher guṇārthena punaḥ śrutiḥ.
[2,2.17]	dravyasaṃyogāc codanā paśusomayoḥ prakaraṇe hy anarthako dravyasaṃyogo na hi tasya guṇārthena.
[2,2.18]	acodakāś ca saṃskārāḥ.
[2,2.19]	tadbhedāt karmaṇo 'bhyāso dravyapṛthaktvād anarthakaṃ hi syād bhedo dravyaguṇībhāvāt.
[2,2.20]	saṃskāras tu na bhidyeta parārthatvād dravyasya guṇabhūtatvāt.
[2,2.21]	pṛthakttvaniveśāt saṃkhyayā karmabhedaḥ syāt.
[2,2.22]	saṃjñā cotpattisaṃyogāt.
[2,2.23]	guṇāś cāpūrvasaṃyoge vākyoḥ samattvāt.
[2,2.24]	aguṇe tu karmaśabde guṇas tatra pratīyeta.
[2,2.25]	phalaśrutes tu karma syāt phalasya karmayogitvāt.
[2,2.26]	atulyatvāt tu vākyayor guṇe tasya pratīyeta.
[2,2.27]	sameṣu karmayuktaṃ syāt.
[2,2.28]	saubhare puruṣaśruter nidhanaṃ kāmasaṃyogaḥ.
[2,2.29]	sarvasya voktakāmatvāt tasmin kāmaśrutiḥ syān nidhanārthā punaḥ śrutiḥ.

{2,3}

[2,3.1]	guṇas tu kratusaṃyogāt karmāntaraṃ prayojayet saṃyogasyāśeṣabhūtvāt.
[2,3.2]	ekasya tu liṅgabhedāt prayojanārtham ucyetaikatvaṃ guṇavākyatvāt.
[2,3.3]	aveṣṭau yajñasaṃyogātkratupradhānamucyate.
[2,3.4]	ādhāne sarvaśeṣatvāt.
[2,3.5]	ayaneṣu codanāntaraṃ saṃjñopabandhāt.
[2,3.6]	aguṇāc ca karmacodanā.
[2,3.7]	samāptaṃ ca phale vākyam.
[2,3.8]	vikāro vā prakaraṇāt.
[2,3.9]	liṅgadarśanāc ca.
[2,3.10]	guṇāt saṃjñopabandhaḥ.
[2,3.11]	samāptir aviśiṣṭā.
[2,3.12]	saṃskāraś cāprakaraṇe 'karmaśabdatvāt.
[2,3.13]	yāvad uktaṃ vā karmaṇaḥ śrutimūlatvāt.
[2,3.14]	yajatis tu dravyaphalabhoktṛsaṃyogād eteṣāṃ karmasambandhāt.
[2,3.15]	liṅgadarśanāc ca.
[2,3.16]	viṣaye prāyadarśanāt.
[2,3.17]	arthavādopapatteś ca.
[2,3.18]	saṃyuktas tv arthaśabdena tadarthaḥ śrutisaṃyogāt.
[2,3.19]	pātnīvate tu pūrvatvād avacchedaḥ.
[2,3.20]	adravyatvāt kavele karmaśeṣaḥ syāt.
[2,3.21]	agnis tu liṅgadarśanāt kratuśabdaḥ pratīyeta.
[2,3.22]	dravyaṃ vā syāc codanāyās tadarthatvāt.
[2,3.23]	tatsaṃyogāt kratus tadākhyaḥ syāt tena dharmavidhānāni.
[2,3.24]	prakaraṇāntare prayojanānyatvam.
[2,3.25]	phalaṃ cākarmasaṃnidhau.
[2,3.26]	saṃnidhau tv avibhāgāt phalārthena punaḥ śrutiḥ.
[2,3.27]	āgneyasūktahetutvād abhyāsena pratīyeta.
[2,3.28]	avibhāgāt tu karmaṇāṃ dvirukter na vidhīyate.
[2,3.29]	anyārthā vā punaḥ śrutiḥ.

{2,4}

[2,4.1]	yāvajjīviko 'bhyāsaḥ karmadharmaḥ prakaraṇāt.
[2,4.2]	kartur vā śrutisaṃyogāt.
[2,4.3]	liṅgadarśanāc ca karmadharme hi prakrameṇa niyamyeta tatrānarthakam anyat syāt.
[2,4.4]	vyapavargaṃ ca darśayati kālaś cet karmabhedaḥ syāt.
[2,4.5]	anityatvāt tu naivaṃ syāt.
[2,4.6]	virodhaś cāpi pūrvavat.
[2,4.7]	kartus tu dharmaniyamāt kālaśāstraṃ nimittaṃ syāt.
[2,4.8]	nāmarūpadharmaviśeṣapunaruktinindāśāktisamāptivacanaprāyaścittānyārthadarśanāc chākhāntareṣu karmabhedaḥ syāt.
[2,4.9]	ekaṃ vā saṃyogarūpacodanākhyāviśeṣāt.
[2,4.10]	na nāmnā syād acodanābhidhānatvāt.
[2,4.11]	sarveṣāṃ caikakarmyaṃ syāt.
[2,4.12]	kṛtakaṃ cābhidhānam.
[2,4.13]	ekatve 'pi param.
[2,4.14]	vidyāyāṃ dharmaśāstram.
[2,4.15]	agneyavatpunarvacanam.
[2,4.16]	advirvacanaṃ vā śrutisaṃyogāviśeṣāt.
[2,4.17]	arthāsannidheś ca.
[2,4.18]	na caikaṃ pratiśiṣyate.
[2,4.19]	samāptivac ca saṃprekṣā.
[2,4.20]	ekatve 'pi parāṇi nindāśaktisamāptivacanāni.
[2,4.21]	prāyaścittaṃ nimittena.
[2,4.22]	prakramād vā niyogena.
[2,4.23]	samāptiḥ pūrvavattvādyathājñāte pratīyeta.
[2,4.24]	liṅgamaviśiṣṭaṃ sarvaśeṣatvān na hi tatra karmacodanā tasmāt dvādaśāhasyāhāravyapadeśaḥ syāt.
[2,4.25]	dravye cācoditatvād vidhīnām avyavasthā syān nirdeśād vyatiṣṭheta tasmān nityānuvādaḥ syāt.
[2,4.26]	vihitapratiṣedhāt pakṣe 'tirekaḥ syāt.
[2,4.27]	sārasvate vipratiṣedhādyadeti syāt.
[2,4.28]	upahavye 'pratiprasavaḥ.
[2,4.29]	guṇārthā vā punaḥ śrutiḥ.
[2,4.30]	pratyayaṃ cāpi darśayati.
[2,4.31]	api vā kramasaṃyogād vidhipṛthaktvam ekasyāṃ vyavatiṣṭheta.
[2,4.32]	virodhinā tv asaṃyogād aikakarmye tatsaṃyogād vidhīnāṃ sarvakarmapratyayaḥ syāt.

<3>

{3,1}

[3,1.1]	athātaḥ śeṣalakṣaṇam.
[3,1.2]	śeṣaḥ parārthatvāt.
[3,1.3]	dravyaguṇasaṃskāreṣu bādariḥ.
[3,1.4]	karmāṇyapi jaiminiḥ phalārthatvāt.
[3,1.5]	phalaṃ ca puruṣārthatvāt.
[3,1.6]	puruṣaś ca karmārthatvāt.
[3,1.7]	teṣām arthena sabandhaḥ.
[3,1.8]	vihitas tu sarvadharmaḥ syāt saṃyogato 'viśeṣāt prakaraṇāviśeṣāc ca.
[3,1.9]	arthalopād akarme syāt.
[3,1.10]	phalaṃ tu saha ceṣṭayā śabdārtho 'bhāvād viprayoge syāt.
[3,1.11]	dravyaṃ cotpattisaṃyogāt tad artham eva codyeta.
[3,1.12]	arthaikatve dravyaguṇayor aikakarmyān niyamaḥ syāt.
[3,1.13]	ekatvayuktam ekasya śrutisaṃyogāt.
[3,1.14]	sarveṣāṃ vā lakṣaṇatvād aviśiṣṭaṃ hi lakṣaṇam.
[3,1.15]	coditetuparārthatvād yathāśruti pratīyetā.
[3,1.16]	saṃskārād vāguṇānām avyavasthā syāt.
[3,1.17]	vyavasthāvārthasya śrutisaṃyogāt tasya śabda pramāṇatvāt.
[3,1.18]	ānarthakyāttadaṅgeṣu.
[3,1.19]	kartṛguṇe tu karmāsamavāyād vākyabhedaḥ syāt.
[3,1.20]	sākāṅkṣaṃ tv ekavākyaṃ syād asamāptaṃ hi pūrveṇa.
[3,1.21]	sandigdhe tubyavāyād vākyabhedaḥ syāt.
[3,1.22]	guṇānāṃ ca parārthattvād asambandhaḥ samatvāt syāt.
[3,1.23]	mithaś cānarthasamvandhāt.
[3,1.24]	ānantaryam acodanā.
[3,1.25]	bākyānāṃ ca samāptatvāt.
[3,1.26]	śeṣas tu guṇasaṃyuktaḥ sādhāraṇaḥ pratīyeta mithas teṣām asambandhāt.
[3,1.27]	vyavasthā vārthasaṃyogāl liṅgasyārthena sambandhāllakṣaṇārthā guṇaśrutiḥ.

{3,2}

[3,2.1]	arthābhidhānasāmarthyān mantreṣu śeṣabhāvaḥ syāt tasmād utpattisambandho 'rthena nityasaṃyogāt.
[3,2.2]	saṃskārakatvād acoditena syāt.
[3,2.3]	vacanāt tv ayathārtham aindrī syāt.
[3,2.4]	guṇād vāpy abhidhānaṃ syāt sambandhasyāśāstrahetutvāt.
[3,2.5]	tathāhavānam apīti cet.
[3,2.6]	nakālavidhiś coditatvāt.
[3,2.7]	guṇābhāvāt.
[3,2.8]	liṅgāc ca.
[3,2.9]	vidhikopaś copadeśe syāt.
[3,2.10]	tathotthānavisarjane.
[3,2.11]	sūktavāke ca kālavidhiḥ parārthatvāt.
[3,2.12]	upadeśo vā yājyāśabdo hi nākasmāt.
[3,2.13]	sadevatārthas tatsaṃyogāt.
[3,2.14]	pratipattir iti cet sviṣṭakṛdvadubhayasaṃskāraḥ syāt.
[3,2.15]	kṛtsnopadeśād ubhayatra sarvavacanam.
[3,2.16]	yathārthaṃ vā śeṣabhūtasaṃskārāt.
[3,2.17]	vacanād iti cet.
[3,2.18]	prakaraṇāvibhāgād ubhe prati kṛtsnaśabdaḥ.
[3,2.19]	liṅgakramasamākhyānāt kāmyayuktaṃ samāmanānam.
[3,2.20]	adhikāre ca mantravidhir atadākhyeṣu śiṣṭatvāt.
[3,2.21]	tadākhyo vā prakaraṇopapattibhyām.
[3,2.22]	anarthakaś copadeśaḥ syād asambandhāt phalavatā na hy upasthānaṃ phalavat.
[3,2.23]	sarveṣāṃ copadiṣṭatvāt.
[3,2.24]	liṅgasamākhyānābhyāṃ bhakṣārthatānuvākasya.
[3,2.25]	tasya rūpopadeśābhyām apakarṣo 'rthasya coditatvāt.
[3,2.26]	guṇābhidhānān mandrādir ekamantraḥ syāt tayor ekārthasaṃyogāt.
[3,2.27]	liṅgaviśeṣanirdeśāt samānavidhāneṣv anaindrāṇām amantratvam.
[3,2.28]	yathādevataṃ vā tatprakṛtitvaṃ hi darśayati.
[3,2.29]	punarabhyunnīteṣu sarveṣām upalakṣaṇaṃ dviśeṣatvāt.
[3,2.30]	anayād vā pūrvasyānupalakṣaṇam.
[3,2.31]	grahaṇād vāpanayaḥ syāt.
[3,2.32]	pātnīvate tu pūrvavat.
[3,2.33]	grahaṇād vāpanītaṃ syāt.
[3,2.34]	tvaṣṭāraṃ tūpalakṣayet pānāt.
[3,2.35]	atulyatvāt tu naivaṃ syāt.
[3,2.36]	triṃśac ca parārthatvāt.
[3,2.37]	vaṣaṭkāraś ca kartṛvat.
[3,2.38]	chandaḥ pratiṣedhas tu sarvagāmitvāt.
[3,2.39]	aindrāgne tu liṅgabhābāt syāt.
[3,2.40]	ekasmin vā devatāntarād vibhāgavat.
[3,2.41]	chandaś ca devatāvat.
[3,2.42]	sarveṣu vābhāvād ekacchandasaḥ.
[3,2.43]	sarveṣāṃ vaikamantryam aitiśāyanasya bhaktipānatvāt savanādhikāro hi.

{3,3}

[3,3.1]	śruter jātādhikāraḥ syāt.
[3,3.2]	vedo vā prāyadarśanāt.
[3,3.3]	liṅgāc ca.
[3,3.4]	dharmopadeśāc ca na hi dravyeṇa sambandhaḥ.
[3,3.5]	trayīvidyākhyā ca tadvid dhi.
[3,3.6]	vyaktikrame yathāśrutīti cet.
[3,3.7]	na sarvasmin niveśāt.
[3,3.8]	vedasaṃyogān na prakaraṇena bādhyate.
[3,3.9]	guṇamukhyavyatikrame tadarthatvān mukhyena vedasaṃyogaḥ.
[3,3.10]	bhūyastvenobhayaśruti.
[3,3.11]	asaṃyuktaṃ prakaraṇād iti kartavyatārthitvāt.
[3,3.12]	kramaś ca deśasāmānyāt.
[3,3.13]	ākhyā caivama tadarthatvāt.
[3,3.14]	śrutiliṅgavākyaprakaraṇasthānasamākhyānāṃ samavāye pāradaurbalyam arthaviprakarṣāt.
[3,3.15]	ahīno vā prakaraṇād gauṇaḥ.
[3,3.16]	asaṃyogāt tu mukhyasya tasmād apakṛṣyeta.
[3,3.17]	dvitvabahutvayuktaṃ vā codanāt tasya.
[3,3.18]	pakṣeṇārthakṛtasyeti cet.
[3,3.19]	nakṛter ekasaṃyogāt.
[3,3.20]	jāghanī caikadeśatvāt.
[3,3.21]	codanā vāpūrvatvāt.
[3,3.22]	ekadeśa iti cet.
[3,3.23]	na prakṛter aśāstraniṣpatteḥ.
[3,3.24]	santardanaṃ prakṛtau krayaṇavadanarthalopāt syāt.
[3,3.25]	utkarṣo vā grahaṇād viśeṣasya.
[3,3.26]	kartṛto vā viśeṣasya tannimittatvāt.
[3,3.27]	kratuto vārthavādān upapatteḥ syāt.
[3,3.28]	saṃsthāś ca kartṛvad dhāraṇārthāviśeṣāt.
[3,3.29]	ukthyādiṣu vārthasya vidyamānatvāt.
[3,3.30]	aviśeṣāt stutir vyartheti cet.
[3,3.31]	syād anityatvāt.
[3,3.32]	saṅkhyāyuktaṃ kratoḥ prakaraṇāt syāt.
[3,3.33]	naimittikaṃ vā kartṛsaṃyogāl liṅgasya tannimittatvāt.
[3,3.34]	pauṣṇaṃ paiṣaṇaṃ vikṛtau pratīyetācodanāt prakṛtau.
[3,3.35]	tatsarvārtham aviśeṣāt.
[3,3.36]	carauvārthoktaṃ puroḍāśe 'rthavipratiṣedhāt paśau na syāt.
[3,3.37]	carāv apīti cet.
[3,3.38]	na paktināmatvāt.
[3,3.39]	ekasminn ekasaṃyogāt.
[3,3.40]	dharmāvipratiṣedhāc ca.
[3,3.41]	api vā sadvitīye syād devatānimittatvāta.
[3,3.42]	liṅgadarśanāc ca.
[3,3.43]	vacanāt sarvapeṣaṇaṃ taṃ prati śāstravatvād arthābhāvād vicarāv apeṣaṇaṃ bhavati.
[3,3.44]	ekasmin vārthadharmatvād aindrāgnav adubhayor na syād acoditatvāt.
[3,3.45]	hetumātram adantatvam.
[3,3.46]	vacanaṃ param.

{3,4}

[3,4.1]	nivītām iti manuṣyadharmaḥ śabdasya tatpradhānatvāt.
[3,4.2]	apadeśo vārthasya vidyamānatattvāt.
[3,4.3]	vidhistavarpūrvatvāt syāt.
[3,4.4]	sa prāyāt karmadharmaḥ syāt.
[3,4.5]	vākyaśeṣatvāt.
[3,4.6]	tatprakaraṇe yat tat saṃyuktam avipratiṣedhāt.
[3,4.7]	tatpradhāne vā tulyavat prasaṃkhyānād itarasya tadarthatvāt.
[3,4.8]	arthavādo vā prakaraṇāt.
[3,4.9]	vidhinā caikavākyatvāt.
[3,4.10]	digvibhāgaś ca tadvat sambandhasyārthahetutvāt.
[3,4.11]	paruṣi ditapūrṇaghṛtavidagdhaṃ ca tadvat.
[3,4.12]	akarma kratusaṃyuktaṃ saṃyogān nityānuvādaḥ syāt.
[3,4.13]	vidhir vā saṃyogāntarāt.
[3,4.14]	ahīnavat puruṣas tadarthatvāt.
